SUC;SO-·Bus 39/G-G1;SO-·Bus 37/G-G8;SO-·Bus 32/G-G3;SO-·Bus 34/G-G5;SO-·Bus 31/G-G2;SO-·Bus 33/G-G4;SO-·Bus 36/G-G7;SO-·Bus 38/G-G9;SO-·Bus 35/G-G6;SO-·Bus 25/L-Load_Bus_25;SO-·Bus 3/L-Load 3;SO-·Bus 39/L-Load_39;SO-·Bus 26/L-Load_26;SO-·Bus 12/L-Load_12;SO-·Bus 16/L-Load_16;SO-·Bus 7/L-Load_7;SO-·Bus 27/L-Load_27;SO-·Bus 31/L-Load 31;SO-·Bus 4/L-Load_4;SO-·Bus 29/L-Load_29;SO-·Bus 18/L-Load_18;SO-·Bus 24/L-Load_24;SO-·Bus 15/L-Load_15;SO-·Bus 28/L-Load_28;SO-·Bus 23/L-Load_23;SO-·Bus 20/L-Load_20;SO-·Bus 21/L-Load_21;SO-·Bus 8/L-Load_8;SO-·Bus 30/G-G10
SUC;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0
114;999.9982;0;649.9982;0;299.9982;631.9982;25;829.9982;500.90115;170.15551;230.96537;257.83;95.26071;368.09703;585.73017;167.5582;206.10791;6.6414;379.77999;199.03963;116.22025;242.99319;179.02568;147.65338;192.88703;182.69639;347.26702;5.36855;224.9982
115;999.9982;0;649.9982;507.9982;0;18.96483;580;829.9982;649.9982;175.90287;177.51779;174.45614;95.43602;388.52419;753.42042;143.05505;156.28231;5.46559;329.33537;217.65154;92.24508;230.86333;238.59709;130.20332;167.72965;185.27357;466.71434;5.60732;-20.0018
116;316.7773;0;649.9982;507.9982;299.9982;0;530;829.9982;649.9982;148.095;178.57693;249.53717;100.08111;343.68216;728.74534;148.2237;214.56959;4.87046;343.48017;194.45871;99.95189;172.68867;180.44853;156.52576;175.5941;196.69771;343.85818;4.99237;279.9982
117;999.9982;539.9982;0;507.9982;299.9982;631.9982;-40;0;435.19285;142.25897;160.48749;202.18303;96.26209;266.99997;726.20887;136.18261;148.97766;5.19454;264.1842;190.34327;105.86267;184.97227;172.64403;139.25869;135.96364;193.60275;317.45989;4.28145;289.9982
118;0;0;650;508;0;632;540;717.20508;650;108.52434;175.74428;213.84174;90.08457;305.736;734.89705;137.54452;134.26281;4.33996;286.25681;171.18645;91.58282;172.20356;220.26114;102.00409;170.41611;146.75923;374.89154;3.77991;36.2504
119;999.9982;539.9982;372.17188;0;299.9982;631.9982;510;0;0;106.66483;157.57509;165.87588;86.89467;248.73829;708.97921;110.67626;176.39111;4.82455;272.88202;156.16947;99.3849;208.94759;160.25188;127.66584;114.38643;140.83061;286.54104;3.7455;49.9982
120;999.9982;0;101.36942;0;199.9982;631.9982;605;0;649.9982;122.17686;187.71388;172.69776;86.21748;250.85111;623.49598;145.25263;140.32541;5.22069;228.86782;152.02083;88.47389;135.08051;185.93234;115.61953;144.2778;119.02678;273.12085;103.40354;-45.0018
121;999.9982;539.9982;0;507.9982;0;0;605;270.43614;0;106.9863;180.78149;167.52383;82.50399;249.57175;591.06134;125.49196;163.40758;4.51985;236.98093;160.43715;65.11938;136.36469;146.67369;103.62397;111.78445;124.51018;306.62809;3.12541;204.9982
122;999.9982;539.9982;0;507.9982;0;0;-10;402.751;649.9982;102.20595;182.98049;165.91055;67.57423;259.62798;612.83438;93.4863;119.09922;5.17215;206.28153;131.32636;66.3118;151.94972;158.88981;113.0425;104.01236;144.05001;351.29983;3.89855;9.9982
123;0;540;0;508;0;0;585;691.33485;650;92.13583;143.06038;175.58646;75.54566;237.15769;569.84529;92.3092;118.69232;3.5153;241.6997;131.58139;64.50662;142.619;169.14083;97.30244;115.22588;139.19715;278.37724;4.0046;-16.06105
124;328.20121;539.9982;0;507.9982;299.9982;631.9982;540;0;0;122.89064;162.76664;150.64459;67.28629;223.11173;608.06602;124.41456;152.73204;4.73942;266.28329;155.15457;72.02799;137.17593;132.9222;91.6457;104.28402;140.68249;336.04666;4.187;269.9982
125;871.03546;539.9982;0;507.9982;299.9982;0;595;0;0;95.90474;162.19723;161.92735;71.22262;229.10662;570.9301;118.9174;109.5713;4.63514;254.31229;128.52443;66.6992;174.41212;162.99247;101.41833;103.26339;124.77615;325.17176;3.66175;214.9982
126;0;0;106.40228;508;300;632;550;830;0;124.18642;128.67106;167.7828;73.26538;221.68048;546.47719;109.63989;125.08259;4.95113;190.44305;134.15378;89.02894;125.36358;159.28989;87.73316;140.36426;127.71362;318.89571;4.10108;11.69924
127;0;0;649.9982;507.9982;299.9982;0;50;586.40571;649.9982;87.44623;132.16185;175.72772;72.77405;207.53722;533.79416;117.26127;111.69071;3.95532;246.09773;117.40336;65.31857;152.89155;181.9958;108.1662;119.02424;110.52055;339.05362;3.85388;199.9982
128;999.9982;539.9982;649.9982;0;0;631.9982;-30;64.79225;0;134.69514;134.53302;190.31167;62.53586;217.17683;555.98265;112.73377;162.16247;4.87697;243.21357;170.13972;74.32247;160.05902;146.11847;93.51639;139.23463;135.07703;335.51297;3.08562;279.9982
129;999.9982;539.9982;190.74471;0;299.9982;631.9982;520;0;0;126.44482;142.60865;163.01183;84.19076;277.7022;482.63948;102.0026;174.141;5.35877;245.83218;170.84177;89.61988;149.41365;182.29039;114.50633;132.61021;140.26014;371.53289;4.54786;39.9982
130;0;539.9982;649.9982;507.9982;0;631.9982;600;531.24497;0;132.74783;212.48658;187.00659;62.89282;237.48324;498.84409;114.10433;180.73314;5.72129;270.86195;179.20577;96.13334;177.87954;209.44978;101.67948;134.11934;166.5994;382.52094;3.69406;-40.0018
131;999.9982;0;318.10423;507.9982;299.9982;631.9982;55;0;649.9982;121.97154;205.44446;167.35773;89.13471;284.0027;643.94722;142.31064;151.59518;4.48673;322.17271;144.68007;89.03171;163.58946;186.50576;136.40103;155.67813;180.68728;393.12174;4.25967;194.9982
132;999.9982;539.9982;0;507.9982;299.9982;0;510;0;445.64687;147.00587;221.55806;176.20296;74.15213;251.15496;734.73437;125.69685;131.71179;6.23794;251.19027;153.73596;77.73664;195.99163;196.50277;109.07659;134.36853;138.88323;403.49815;3.5502;299.9982
133;999.9982;539.9982;643.94183;0;299.9982;631.9982;-10;0;0;124.52153;190.36189;201.29384;69.34406;307.71638;539.78742;110.25739;143.18916;6.39991;245.74692;150.4777;79.54195;207.86995;154.67603;126.85019;119.39012;142.19862;376.51847;3.80321;259.9982
134;999.9982;0;0;507.9982;299.9982;631.9982;40;369.62933;649.9982;127.28456;169.96392;190.79698;76.88176;268.82864;678.15978;119.33202;184.82412;5.29545;340.87322;161.5732;92.33947;188.09974;216.14608;120.94858;146.73663;170.43085;374.38283;3.99547;209.9982
135;0;539.9982;624.79156;0;299.9982;0;570;829.9982;649.9982;106.59967;189.89812;200.72971;65.63536;316.07088;684.03155;105.95621;154.4071;4.85763;282.4066;139.376;87.7965;192.82263;176.84262;129.11363;149.17147;161.92333;284.56642;3.8665;-10.0018
