SUC;SO-·Bus 39/G-G1;SO-·Bus 37/G-G8;SO-·Bus 32/G-G3;SO-·Bus 34/G-G5;SO-·Bus 31/G-G2;SO-·Bus 33/G-G4;SO-·Bus 36/G-G7;SO-·Bus 38/G-G9;SO-·Bus 35/G-G6;SO-·Bus 25/L-Load_Bus_25;SO-·Bus 3/L-Load 3;SO-·Bus 39/L-Load_39;SO-·Bus 26/L-Load_26;SO-·Bus 12/L-Load_12;SO-·Bus 16/L-Load_16;SO-·Bus 7/L-Load_7;SO-·Bus 27/L-Load_27;SO-·Bus 31/L-Load 31;SO-·Bus 4/L-Load_4;SO-·Bus 29/L-Load_29;SO-·Bus 18/L-Load_18;SO-·Bus 24/L-Load_24;SO-·Bus 15/L-Load_15;SO-·Bus 28/L-Load_28;SO-·Bus 23/L-Load_23;SO-·Bus 20/L-Load_20;SO-·Bus 21/L-Load_21;SO-·Bus 8/L-Load_8;SO-·Bus 30/G-G10
SUC;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0
183;999.9982;539.9982;649.9982;507.9982;0;0;30;652.94737;649.9982;157.98984;259.22942;200.25227;104.3073;312.07864;892.5187;148.05513;221.49511;5.46895;318.32645;235.42512;119.17888;200.93576;209.97314;117.21004;138.85496;168.0332;353.93853;4.32579;219.9982
184;999.9982;0;649.9982;507.9982;299.9982;73.75451;540;829.9982;649.9982;164.78558;240.35362;247.13231;79.37067;428.91136;888.6802;137.61431;204.10728;5.63203;395.21155;185.06332;106.03731;256.56729;221.40119;149.26628;149.08895;192.42558;425.7696;4.69558;19.9982
185;999.9982;539.9982;649.9982;507.9982;299.9982;0;575;761.41094;0;160.3022;249.3348;258.27386;103.46158;393.68401;689.80108;164.12194;174.74614;6.99929;301.45551;218.12341;126.26194;179.79034;252.32406;162.5661;171.09228;222.9184;393.90477;5.55665;-15.0018
186;999.9982;0;649.9982;507.9982;299.9982;631.9982;585;734.51928;0;173.65408;269.56542;199.6708;92.21739;354.60425;911.69563;197.32998;164.817;6.4377;327.45664;224.1332;111.50485;207.15416;259.60598;152.24709;198.94189;224.77876;462.60217;5.23113;224.9982
187;660.68059;0;649.9982;0;299.9982;631.9982;535;829.9982;649.9982;165.10768;224.0841;272.76352;117.72914;422.12427;828.41995;197.08675;202.40108;5.25526;308.00615;222.99135;99.91755;212.61219;186.56475;126.38835;171.90565;170.8064;504.62861;5.01349;274.9982
188;842.28814;0;649.9982;507.9982;299.9982;631.9982;-20;829.9982;649.9982;168.43251;260.01193;198.14614;92.32521;403.29693;801.70205;143.96832;165.63907;5.60942;410.96247;168.07905;90.8177;182.52683;224.54946;169.89606;162.65069;162.42544;509.9484;4.78678;19.9982
189;999.9982;0;378.04354;507.9982;0;631.9982;550;0;649.9982;170.01712;186.53225;183.28743;83.10508;399.74713;607.37509;177.4873;213.40391;6.07849;282.86761;168.03647;92.36395;220.45266;179.04472;150.62212;141.53048;193.55217;440.24902;4.29145;259.9982
190;312.83124;0;650;508;0;632;545;830;650;149.3935;241.53447;219.83182;98.99148;330.20411;786.82762;165.57226;207.30059;6.15656;315.57164;198.82834;102.1077;219.46761;236.80761;133.5668;156.16646;150.09505;339.06176;4.11214;17.23714
191;999.9982;539.9982;649.9982;507.9982;299.9982;0;600;289.58553;0;129.68478;179.39933;165.69749;79.37169;302.71762;671.64086;167.93891;193.40041;5.60742;299.42659;174.17123;117.77433;170.19695;235.43265;107.71284;149.04413;200.24313;418.54023;4.14385;-40.0018
192;0;539.9982;432.102;507.9982;299.9982;631.9982;-20;0;649.9982;121.38099;176.73899;168.68657;75.69259;326.41357;524.13312;115.4449;131.19488;5.20765;259.69739;169.82772;108.22966;146.53761;158.68833;103.97418;122.68058;188.87809;339.46301;4.29076;269.9982
193;0;539.9982;564.8602;507.9982;299.9982;631.9982;30;0;649.9982;107.67201;168.68074;181.3541;84.58087;325.39782;604.13971;120.3707;165.48387;4.98289;233.40814;167.24146;103.04409;166.1255;147.01668;136.58509;115.12418;179.16891;363.55796;3.38099;219.9982
194;999.9982;0;0;507.9982;299.9982;631.9982;10;624.74367;0;121.62471;202.49408;145.35497;70.19894;305.17968;531.30319;134.08253;162.16908;4.55061;310.89282;137.67771;99.28492;139.66576;179.33356;105.40159;118.78008;128.51278;349.43091;3.81252;239.9982
195;999.9982;0;649.9982;507.9982;299.9982;0;40;736.78058;0;113.87111;154.74235;184.03305;76.97664;308.22601;677.60446;121.04147;172.77699;4.25407;250.92339;178.87041;94.22047;152.29497;158.44323;92.52006;128.35483;145.91334;357.7141;4.45668;209.9982
196;546.44812;0;649.9982;507.9982;299.9982;0;45;829.9982;649.9982;115.85559;193.76095;156.91731;74.31423;329.67331;590.3438;138.78204;179.59674;5.02652;316.53776;180.7532;97.71635;196.40085;190.19782;113.72029;119.17301;124.8308;289.22106;3.30574;-45.0018
197;999.9982;0;649.9982;0;0;119.70179;-55;829.9982;649.9982;137.51306;158.76367;199.13807;62.33752;340.34821;670.65002;124.14439;135.39822;4.74071;262.2507;149.42956;89.01601;189.96762;174.17875;92.03231;141.35456;129.70615;365.86597;4.24646;304.9982
198;0;539.9982;649.9982;507.9982;0;631.9982;40;829.9982;137.79427;134.6513;190.96219;214.97801;87.70094;315.70359;537.10488;150.12374;177.13056;5.76951;291.43407;134.22636;90.69525;173.94712;214.76373;138.91034;125.18429;151.91409;339.48051;3.55097;209.9982
199;0;540;650;508;0;632;550;830;413.49492;158.17605;219.7419;174.59872;93.93393;343.85977;790.64992;176.30916;148.64496;4.76823;367.28264;190.66645;98.26825;215.55309;200.60903;125.8444;168.51783;206.70635;363.81982;4.49374;12.81551
200;941.7621;539.9982;649.9982;0;0;631.9982;30;829.9982;649.9982;136.74511;194.09345;244.93536;84.28058;425.17689;912.61464;191.41693;227.94998;5.58676;284.82478;208.39422;128.54855;186.88389;232.571;148.28596;153.16717;210.21146;425.34887;4.61527;219.9982
201;999.9982;0;649.9982;507.9982;0;518.0569;45;829.9982;649.9982;158.22058;210.95658;188.71435;91.14527;341.58619;713.26261;175.77814;190.9164;6.64733;374.643;162.35016;126.11348;191.43562;221.84198;153.77742;200.07272;186.63428;376.14548;4.32573;-45.0018
202;999.9982;0;649.9982;507.9982;299.9982;38.53385;35;829.9982;649.9982;135.21673;234.02412;262.94516;85.64524;382.11953;661.2253;165.94269;216.58229;7.37812;368.47704;165.44823;99.87203;205.47925;238.86221;123.51881;209.61345;171.73803;403.24846;6.32571;214.9982
203;999.9982;539.9982;585.54564;507.9982;299.9982;631.9982;20;0;649.9982;169.20761;207.47708;230.43895;93.4233;340.28196;773.68923;159.22316;165.7352;5.66613;399.61334;161.21467;132.30815;196.59404;232.30362;120.67652;156.37766;196.05049;387.17746;5.43106;-20.0018
204;0;539.9982;649.9982;507.9982;299.9982;631.9982;580;829.9982;362.91371;186.11383;228.96147;237.32582;94.20493;401.31378;753.52625;184.79238;211.18297;7.08931;285.67356;232.62807;101.20698;261.51373;184.71458;151.55385;172.04621;156.83621;440.81259;5.47946;-20.0018
205;643.1492;539.9982;649.9982;507.9982;299.9982;0;15;829.9982;649.9982;185.67575;257.00079;228.22414;83.0366;423.8806;763.7822;187.51315;194.61391;5.6779;311.98389;192.51892;106.293;252.77739;233.13659;174.20629;144.39003;160.27244;376.02401;4.43456;234.9982
206;999.9982;0;263.02175;507.9982;299.9982;631.9982;-25;829.9982;649.9982;128.88292;188.08231;268.05812;101.30844;431.08462;651.75873;146.11538;200.40689;7.25241;403.7909;230.84237;109.2956;244.77963;225.64905;131.79589;207.70281;178.50015;485.54534;5.24998;274.9982
207;999.9982;539.9982;383.65717;507.9982;299.9982;0;515;829.9982;0;163.59589;238.17793;190.28396;78.8151;394.12179;903.68088;152.03425;189.91101;6.97222;335.96932;226.62368;100.04076;170.48937;244.50304;115.17575;186.87525;183.47516;400.63964;4.55516;294.9982
208;999.9982;539.9982;0;0;0;631.9982;535;422.88511;649.9982;157.32421;222.35253;244.24828;91.45217;294.92261;667.23379;187.23177;211.55185;5.63854;324.97169;212.37567;90.23249;179.10313;199.38478;127.80342;147.51541;203.25071;404.48153;4.30474;274.9982
209;604.0544;539.9982;649.9982;0;100;631.9982;595;829.9982;649.9982;190.85833;210.99564;255.26419;94.82232;361.27335;892.98411;173.59432;223.79499;6.6944;370.11334;203.51218;99.77254;216.40847;210.49813;135.80081;189.9446;182.0656;404.75698;5.33218;-35.0018
210;999.9982;539.9982;649.9982;0;0;631.9982;-44.09733;829.9982;649.9982;172.82591;188.78729;255.01116;82.10969;373.93876;745.30114;190.75414;193.08018;6.07414;340.09183;196.47732;129.27971;228.06616;220.82593;125.56816;152.02173;159.59298;458.93897;4.68877;49.9982
211;999.9982;0;385.12464;0;299.9982;631.9982;535;829.9982;549.9982;189.49602;249.95718;249.31117;106.35243;302.75127;686.53093;166.45814;232.42672;7.00398;314.70367;169.36678;90.09053;246.18996;189.8783;163.8637;172.27799;118.02564;511.2171;5.79106;24.9982
212;682.11175;539.9982;649.9982;507.9982;299.9982;0;-25;829.9982;649.9982;134.51576;227.33621;227.12447;91.24753;298.50096;820.25226;168.59462;210.00781;5.37122;366.53571;220.71226;108.35699;205.87975;236.333;156.03401;161.91296;186.95411;492.24278;5.72832;274.9982
213;999.9982;539.9982;0;507.9982;299.9982;0;535;466.15405;649.9982;152.76573;178.31068;253.3813;99.71133;337.73256;870.73809;136.65251;188.94609;5.62859;372.77291;201.67922;104.5778;164.54759;185.82948;110.78273;171.09885;195.98329;453.45794;5.75219;274.9982
214;999.9982;539.9982;30.36898;0;299.9982;631.9982;565;829.9982;0;160.52655;182.65474;212.15549;82.0984;301.65687;673.86852;121.90677;206.5083;5.52831;256.22291;177.63121;118.66393;222.49231;200.50685;141.19613;132.20407;166.98975;447.59377;5.64491;-5.0018
215;999.9982;0;649.9982;0;299.9982;631.9982;-20;387.33124;649.9982;132.34389;170.9121;185.4008;89.71379;291.01737;664.47433;139.62516;178.84024;5.13757;276.73294;192.49692;114.30004;150.68786;217.74249;102.12487;121.24638;193.2791;318.26516;4.02472;19.9982
216;185.56634;0;649.9982;0;0;631.9982;540;829.9982;649.9982;122.49955;151.10441;193.10067;95.88177;242.78322;740.71347;114.55783;164.73021;4.49215;264.54097;182.08555;107.71184;169.27112;200.95709;113.82882;137.44397;127.15554;301.10683;4.82729;19.9982
217;245.87032;539.9982;649.9982;0;0;0;540;829.9982;649.9982;117.01246;183.52;198.87407;62.57893;262.6127;661.3722;115.69258;124.36856;4.43855;305.19864;178.15835;92.38308;150.988;207.38691;103.50911;141.5115;151.55284;341.97078;4.58851;19.9982
218;0;539.9982;649.9982;0;299.9982;631.9982;615;255.54369;0;105.2539;159.88031;186.69596;68.25701;259.5931;602.53691;121.98243;118.57163;5.50678;243.23745;153.80882;67.46309;144.28739;183.08223;104.20368;133.15717;149.53907;314.21356;3.7741;194.9982
219;123.48425;0;649.9982;0;299.9982;631.9982;35;829.9982;649.9982;128.02048;170.77484;161.22564;58.56018;213.00946;496.52661;142.00405;168.25905;4.13157;207.20911;171.90357;74.15439;181.85282;194.62042;123.74545;107.72433;132.52626;383.07994;3.69739;-35.0018
220;999.9982;0;421.48334;0;299.9982;0;605;0;649.9982;128.84616;139.32019;191.0661;58.51089;223.59952;562.35563;116.7723;138.53841;3.99801;268.97735;167.60833;70.35838;147.55215;188.29994;120.12525;124.57339;151.52458;312.60432;4.47219;204.9982
221;650.32709;539.9982;0;507.9982;0;631.9982;600;0;0;130.55666;135.26152;166.13973;75.89167;281.54108;504.65545;99.17276;146.87134;4.81544;270.50897;173.3422;68.9627;182.21119;134.65419;97.74444;106.59107;124.1836;371.23237;4.41744;209.9982
222;999.9982;0;649.9982;507.9982;299.9982;0;-15;103.74178;649.9982;120.67938;171.76658;212.21875;78.83474;288.57909;621.19188;129.47567;153.47432;6.02593;244.71101;182.98033;93.26962;202.63629;155.78047;106.81616;128.55139;169.67016;323.61628;3.58819;264.9982
223;999.9982;0;649.9982;0;299.9982;631.9982;605;325.4526;0;111.2268;191.53474;182.91281;84.12458;326.82222;603.98369;125.84559;206.85822;6.52798;302.52047;199.31514;81.31764;178.47151;212.89586;133.47654;134.24902;196.55198;361.73529;4.19306;204.9982
224;999.9982;539.9982;90.97263;507.9982;0;631.9982;35;829.9982;649.9982;124.8089;181.51358;191.29587;109.52321;390.47164;725.83878;166.63662;211.30555;5.11701;389.38331;207.31517;87.219;209.27375;179.87334;162.27807;187.87166;184.40226;448.95275;4.54153;-35.0018
225;999.9982;539.9982;0;507.9982;299.9982;631.9982;525;129.47316;649.9982;175.77558;258.31931;188.2441;82.57561;325.17609;689.15967;159.58818;184.7826;5.04878;400.73262;208.24119;111.99527;189.17708;258.95387;129.09893;178.58506;203.83286;480.07589;5.41668;34.9982
226;999.9982;539.9982;518.45415;0;0;631.9982;45;829.9982;649.9982;175.10532;246.08869;216.67363;112.48638;384.65522;889.52956;146.37751;194.08154;7.19811;383.60151;185.94375;112.66077;169.79471;197.71166;130.23665;176.15372;166.82813;433.20381;5.44967;204.9982
227;999.9982;62.85208;649.9982;0;0;631.9982;35;829.9982;649.9982;132.608;254.23558;193.58238;103.72978;360.46843;625.22378;183.15062;172.01256;5.09598;275.31663;163.14813;103.0109;213.20996;188.77208;139.86225;164.01952;202.72886;509.18631;5.59304;214.9982
228;999.9982;539.9982;649.9982;0;0;631.9982;550;121.15375;649.9982;132.52886;243.77728;230.00682;109.8435;337.73699;673.49246;183.94823;193.06669;5.16847;369.12716;207.83004;89.13838;237.03574;254.36966;137.10681;137.81405;173.87686;350.04857;5.80456;9.9982
229;45.11966;0;650;508;0;632;530;830;650;160.32095;179.5935;189.08727;81.30356;325.50447;877.28149;180.06189;172.81651;6.96211;327.74748;160.03488;103.22931;221.18289;221.10719;143.34535;147.53681;187.49824;354.98211;4.63718;297.16623
230;999.9982;153.59306;649.9982;0;0;631.9982;45;829.9982;649.9982;137.43282;185.64106;180.70895;93.9935;392.80456;720.83498;154.6761;154.05208;6.21679;304.83289;182.25716;123.25261;242.83738;212.05093;150.50402;186.36715;216.11149;433.98928;5.3528;204.9982
231;614.43506;539.9982;649.9982;507.9982;299.9982;0;25;829.9982;649.9982;175.9847;193.53289;234.20192;90.55819;356.88402;828.48496;136.0614;214.26883;5.75827;394.10065;160.09173;91.82558;215.54052;222.69682;149.53647;153.04541;217.78999;411.66044;5.26826;224.9982
232;0;539.9982;645.75066;507.9982;299.9982;631.9982;-30;829.9982;649.9982;134.70524;254.97795;223.74276;106.89768;327.01377;710.83378;153.71115;161.61596;6.15907;358.01643;214.42296;102.85162;238.23978;205.481;117.32665;183.30649;155.09221;364.93768;5.91534;29.9982
233;999.9982;539.9982;354.00846;507.9982;0;631.9982;50;0;649.9982;128.73775;202.01532;231.54577;79.14952;293.2254;615.44721;129.08446;223.97112;5.32717;300.24373;191.77027;108.03914;209.22749;236.68511;135.10564;164.21009;172.09936;426.1546;4.83365;199.9982
234;770.6629;0;649.9982;0;299.9982;631.9982;35;829.9982;649.9982;128.46873;263.19921;230.23825;79.87753;361.29586;632.93422;174.40989;182.17004;5.99142;298.21288;205.81663;112.16932;201.55275;242.02692;147.15141;167.19526;190.93044;374.68538;4.28631;214.9982
235;999.9982;0;649.9982;507.9982;299.9982;631.9982;-30;829.9982;172.72279;179.32189;237.13159;244.12164;93.43032;405.73834;784.84437;154.48184;155.73176;6.51535;320.83115;178.69884;124.83712;187.39507;246.37372;121.03388;182.98237;223.96147;404.78992;5.35248;279.9982
236;999.9982;539.9982;649.9982;0;299.9982;631.9982;550;443.72003;0;138.61971;198.31145;226.1748;78.19105;350.37444;779.5027;134.95079;198.60019;7.02403;305.35284;167.04599;106.82448;240.12448;199.88201;162.41288;164.51775;223.72617;358.51704;4.67252;9.9982
237;999.9982;539.9982;649.9982;0;299.9982;631.9982;-15;829.9982;5.60517;122.47763;179.63392;206.52282;106.30538;364.60606;853.90755;167.04744;187.89681;5.0344;274.77327;184.59446;100.86929;194.69288;247.53399;122.03969;163.9108;202.93079;436.03935;4.28835;264.9982
238;999.9982;0;0;507.9982;0;631.9982;535;493.89586;649.9982;131.82894;161.05202;215.19178;71.63596;384.67884;771.04041;127.46939;178.07717;5.0531;333.47175;185.36225;86.75271;157.28568;221.78924;111.03523;137.42243;145.01979;340.39561;3.96481;24.9982
239;999.9982;539.9982;585.25022;507.9982;0;631.9982;580;0;0;129.2769;231.4579;186.7951;96.07551;296.10272;781.29391;133.16151;185.88277;5.80298;253.93279;184.19128;109.34741;202.34845;165.84752;125.06619;142.57826;187.50032;329.45201;4.13356;-20.0018
240;0;0;649.9982;507.9982;299.9982;0;540;681.41592;649.9982;147.61495;157.73343;214.2722;87.89514;330.11312;663.07322;122.53778;128.77938;6.17868;289.72279;163.92106;76.60909;206.41211;167.17271;136.93864;121.87509;147.69995;356.64432;3.64724;269.9982
241;870.33011;539.9982;0;507.9982;299.9982;631.9982;555;0;0;100.57895;161.59269;147.22249;83.53095;286.78032;679.49466;123.76286;138.5859;4.84228;231.93461;161.6755;72.90047;137.25446;204.65845;115.16923;143.72282;165.49466;380.27566;3.98566;4.9982
242;999.9982;539.9982;402.4251;507.9982;0;0;535;0;0;97.90432;169.66746;152.96482;77.481;257.69342;614.71939;117.22659;150.35624;5.23391;308.78202;133.44734;69.59026;165.86601;180.29367;116.61474;122.44946;165.56539;287.23697;3.40397;274.9982
243;0;539.9982;649.9982;0;299.9982;0;545;829.9982;418.29012;130.68391;147.67683;193.25804;59.30304;271.54745;573.09259;123.28875;137.46438;4.36799;301.533;165.48267;66.63361;128.36415;160.22114;118.66319;120.94753;160.40626;367.48904;3.19596;14.9982
244;635.02157;0;649.9982;507.9982;0;0;50;829.9982;649.9982;96.43749;191.2984;190.12575;65.71248;288.87113;599.49005;101.10004;136.65709;4.90597;246.66651;174.40307;72.3544;177.89009;167.96457;108.83322;124.72015;130.37018;326.68125;4.36461;-50.0018
245;384.90882;539.9982;0;507.9982;299.9982;631.9982;535;0;0;100.12571;167.61347;199.41928;62.52193;289.90722;548.6652;100.85885;136.67629;4.71897;249.04903;143.92558;83.81273;180.02901;138.41266;95.93792;122.87185;146.11112;338.16659;3.83408;274.9982
246;0;539.9982;649.9982;507.9982;299.9982;631.9982;-30;338.76795;649.9982;101.40117;207.09229;210.43915;82.44424;299.34565;696.15376;152.95111;125.93489;5.27146;321.23421;140.05009;102.01469;151.27963;176.36547;98.28451;162.93945;164.26469;345.43173;4.91528;29.9982
247;540.33967;539.9982;649.9982;0;0;631.9982;-45;829.9982;649.9982;160.28719;193.44406;224.844;80.26041;367.57794;713.30787;131.72542;170.78592;4.92059;263.03555;151.09866;100.36825;158.68634;205.37251;113.11809;137.70732;175.71525;409.31583;5.43025;44.9982
248;999.9982;539.9982;0;507.9982;299.9982;631.9982;580;0;511.40431;165.03997;214.41925;215.24044;96.83942;313.82687;841.24898;184.2921;219.29473;7.28248;267.44701;197.38083;102.67744;206.69524;253.68955;133.91783;192.79778;162.80554;436.70365;5.46571;229.9982
249;999.9982;0;649.9982;0;0;540.71742;515;829.9982;649.9982;134.47526;174.65537;219.90648;89.30927;312.46956;897.49689;127.94089;219.46615;5.23734;362.51515;229.27969;86.67342;197.62338;229.65059;113.97701;161.87555;156.35126;424.58292;4.27775;44.9982
250;0;539.9982;649.9982;507.9982;299.9982;631.9982;-15;829.9982;404.23666;140.25125;183.62215;256.85387;92.99134;401.26077;685.75689;170.31157;218.76437;7.17467;332.59489;187.23937;99.43017;176.02798;223.14601;147.11732;168.03214;170.88153;366.63196;5.47887;264.9982
251;999.9982;0;649.9982;507.9982;0;0;540;752.14403;649.9982;135.24482;201.0916;214.84058;110.55243;364.45609;817.4363;182.44917;174.89305;5.43361;294.59965;228.9853;120.305;182.97596;260.67372;141.1994;202.03815;158.36137;484.12427;4.79623;269.9982
252;999.9982;539.9982;0;507.9982;299.9982;631.9982;510;0;372.04925;134.9064;217.2834;268.20193;111.7553;374.28953;652.19552;134.62725;230.8101;7.19614;302.48444;213.63363;112.14144;181.26894;178.48321;124.48828;145.32555;196.08454;490.52795;4.73867;299.9982
253;390.07373;539.9982;649.9982;507.9982;299.9982;631.9982;15;829.9982;649.9982;134.8712;260.31435;227.07223;95.07087;358.21596;894.63435;156.79692;164.24316;6.67266;371.10692;198.17247;87.57983;235.2222;242.73339;138.07803;158.27761;189.67478;487.41908;5.68276;-15.0018
254;999.9982;539.9982;602.15848;507.9982;0;631.9982;555;0;649.9982;168.1744;239.66248;263.70512;102.28653;390.25313;868.31535;157.80431;224.62183;7.24172;305.34954;225.37488;125.70028;216.43644;232.51514;138.05327;143.78385;166.652;423.66844;4.48;4.9982
255;342.97708;0;649.9982;0;299.9982;631.9982;605;829.9982;649.9982;152.72021;226.56535;181.67655;110.20489;387.90293;758.79753;126.97339;187.1397;6.01285;281.66238;217.36535;100.02191;248.5313;254.34326;123.28608;149.13588;211.51686;403.29292;5.18287;204.9982
256;999.9982;539.9982;649.9982;0;299.9982;190.24241;40;829.9982;649.9982;176.12091;178.91603;200.4271;96.26579;386.96224;870.85097;165.1864;181.49364;6.80076;382.16675;202.00695;107.41624;181.97134;250.23252;151.15004;150.10689;191.62655;439.12606;4.94164;209.9982
257;999.9982;539.9982;649.9982;0;0;0;540;503.38433;649.9982;172.22162;215.87638;223.02369;103.49327;295.64229;727.26854;186.60072;188.97193;7.08262;386.81462;228.43525;86.47012;211.45164;178.89899;128.57707;139.21614;210.37884;377.46718;4.05627;269.9982
258;999.9982;539.9982;0;507.9982;0;631.9982;540;0;419.20636;141.15877;197.03744;208.96577;114.07906;331.68427;642.51463;133.78101;164.36484;6.34595;365.73373;177.91073;109.20841;179.73028;215.75037;147.73798;161.54761;157.87162;371.40408;5.73048;269.9982
259;0;539.9982;649.9982;507.9982;299.9982;631.9982;55;476.84673;649.9982;123.60174;246.33487;200.28041;101.23119;312.14187;699.84301;168.33699;190.08576;7.48649;293.8156;205.96776;93.25396;172.88032;212.40265;149.18766;147.79034;218.03606;380.59919;5.00699;194.9982
260;999.9982;0;649.9982;507.9982;0;631.9982;-15;829.9982;401.46476;143.6144;181.79891;200.30425;86.51174;290.50496;863.9798;129.15584;225.57555;6.03214;330.23342;222.26124;87.30145;242.01542;244.34109;140.80433;145.53245;151.25518;491.20008;5.29006;264.9982
261;999.9982;0;649.9982;0;299.9982;179.5963;590;829.9982;449.9982;171.56703;228.09893;254.69755;91.02815;388.75218;688.59603;135.88437;203.03824;5.21507;308.98541;190.00096;90.53289;210.11262;184.6053;145.9301;183.38593;145.66617;258.42274;5.28239;-30.0018
262;999.9982;539.9982;0;507.9982;299.9982;631.9982;580;0;373.52891;164.51147;179.37689;188.164;77.15755;369.81688;739.60264;163.72133;192.24338;5.20485;347.44941;203.34466;94.69144;214.50904;224.697;131.25901;158.74038;159.87115;462.59413;4.93766;229.9982
263;999.9982;0;0;507.9982;0;631.9982;575;126.90611;649.9982;151.32236;159.70423;183.65938;83.70749;294.02928;548.73005;116.4328;165.6406;5.7684;293.67049;187.63269;78.54988;160.62866;203.5568;120.17992;167.79224;135.78846;348.19855;3.74097;-15.0018
264;999.9982;539.9982;0;0;0;631.9982;520;516.03753;0;115.71079;215.01697;187.90201;93.69834;243.43225;643.49845;121.03147;149.83407;4.65142;241.08709;170.84327;74.73997;158.48227;200.90467;124.36304;113.10246;164.65525;402.30278;4.19374;289.9982
265;999.9982;0;0;507.9982;0;631.9982;15;277.12071;649.9982;106.02881;193.35531;160.64444;79.44149;323.4862;532.13825;145.68258;163.87321;4.46498;253.1908;149.99457;97.40472;166.98128;148.77746;116.79939;118.03116;175.05744;312.48046;4.24832;234.9982
266;749.24889;539.9982;0;507.9982;0;631.9982;605;0;0;117.49591;176.21985;142.82956;62.05981;223.36565;631.32421;137.39553;145.62196;4.42054;224.66384;137.77073;75.33954;142.59678;168.16307;111.59303;121.93691;168.65181;380.46694;3.8203;204.9982
267;0;0;570.52553;508;300;632;575;0;650;101.49158;190.59467;181.81058;68.05697;309.08964;516.16371;137.83021;157.40288;4.87471;248.79022;169.74631;88.5968;149.24636;177.08999;110.87408;116.63242;158.14621;267.73354;3.20531;-8.52962
268;999.9982;539.9982;0;507.9982;299.9982;631.9982;40;227.17376;0;109.13407;164.00399;195.52636;82.33171;267.14751;679.53431;138.42158;126.29997;5.3521;282.86707;137.72998;74.44717;127.73142;195.56564;111.02769;144.41876;162.33294;381.98623;3.52931;209.9982
269;999.9982;539.9982;0;0;299.9982;631.9982;550;0;334.18142;113.02499;198.78115;168.66821;62.18371;251.91021;640.9046;112.56689;152.85267;4.63025;274.52417;159.12592;77.38547;171.38883;187.74684;109.94043;114.70566;172.12446;324.53436;3.18079;9.9982
270;999.9982;539.9982;0;507.9982;0;631.9982;35;0;531.94521;123.53746;161.84106;184.78226;63.63999;284.916;531.97811;151.13754;148.30847;4.78609;282.82674;177.35161;95.06204;196.43935;208.26164;93.70647;128.34971;169.80658;383.24448;4.09011;214.9982
271;999.9982;539.9982;0;507.9982;299.9982;631.9982;-40;0;615.18296;145.11695;163.18253;163.32656;74.10021;330.6123;738.45541;134.47679;152.75903;4.65684;359.41925;175.79873;102.75489;221.58609;229.29554;113.26437;145.86815;162.98289;348.16863;3.96381;289.9982
272;999.9982;0;0;507.9982;299.9982;631.9982;600;159.059;649.9982;156.55814;195.70176;175.06847;76.11034;288.66071;762.74351;183.10178;166.03062;5.72919;377.50403;162.96035;115.63764;226.05478;231.04492;109.27331;157.83217;213.50682;370.87559;5.07725;209.9982
273;999.9982;466.81543;649.9982;0;0;631.9982;-20;829.9982;649.9982;140.32346;258.12359;196.61118;103.31535;415.39594;770.05246;189.16163;167.10519;5.88818;367.31117;220.40799;118.4324;175.70631;178.63168;152.0388;156.61458;156.03256;369.19044;5.55633;19.9982
274;0;539.9982;638.72474;507.9982;299.9982;631.9982;-45;829.9982;649.9982;168.03654;256.01583;212.85921;104.25754;378.19108;640.5411;129.6132;224.1054;5.25274;402.47893;207.91753;121.48888;212.30552;183.99629;144.07132;191.38345;205.77298;470.70581;4.46403;294.9982
275;999.9982;0;0;507.9982;299.9982;631.9982;550;345.43119;649.9982;147.93528;245.74069;224.23878;88.95575;332.41868;823.51094;150.52343;209.98376;6.48665;333.58283;187.40776;105.18012;213.0756;191.99859;162.24288;140.72251;209.8576;382.46583;5.86152;259.9982
276;999.9982;0;649.9982;0;299.9982;631.9982;510;829.9982;275.59002;137.34691;236.66631;192.2713;93.62723;311.74461;685.28173;131.38299;220.03934;5.37314;398.29947;206.14048;97.27571;245.9829;265.94514;127.29976;145.43225;219.16086;439.16625;5.86931;49.9982
277;340.12432;539.9982;649.9982;507.9982;0;0;505;829.9982;649.9982;127.2474;253.0932;193.55062;86.32521;366.77284;757.0822;151.71826;179.74434;7.40378;362.71807;220.46878;120.85357;203.00776;216.9708;130.40487;158.58386;203.00491;499.75197;4.55846;304.9982
278;0;539.9982;649.9982;507.9982;0;631.9982;615;229.05812;649.9982;129.49218;219.33389;211.87861;112.22182;343.48833;644.29925;130.63392;162.71964;5.90156;307.8521;191.56012;119.86612;235.05486;235.8601;156.39286;135.95697;222.98188;369.29561;5.46498;194.9982
279;999.9982;0;649.9982;507.9982;299.9982;274.39203;20;829.9982;649.9982;150.91482;251.79769;215.39395;97.63393;404.87875;868.04786;186.6078;200.58459;5.09163;324.18047;193.24138;105.76476;194.03487;251.53174;147.32268;176.19049;162.63482;434.27767;4.76602;229.9982
